,Unnamed: 0,category_id,views,likes,dislikes,comment_total
0,0,24,4394029,320053,5931,46245
1,1,28,7860119,185853,26679,0
2,2,22,5845909,576597,39774,170708
3,3,28,2642103,24975,4542,12829
4,4,23,1168130,96666,568,6666
5,5,1,1311445,34507,544,3040
6,6,23,666169,9985,297,1071
7,7,28,1728614,74062,2180,15297
8,8,22,1338533,69687,678,5643
9,9,1,1056891,29943,878,4046
10,10,23,859289,34485,726,1914
11,11,23,452477,28050,405,2745
12,12,23,258781,8085,303,726
13,13,24,274358,9215,477,838
14,14,24,473691,14740,415,1696
15,15,28,514972,18936,641,3817
16,16,24,282858,14870,300,1398
17,17,1,1582683,65749,1531,3598
18,18,26,479951,23945,640,1941
19,19,1,2693468,7941,302,1432
20,20,10,815608,66420,3578,5550
21,21,25,382525,1521,270,1168
22,22,24,703750,2921,2196,1042
23,23,24,255967,21817,293,2017
24,24,10,96872,3498,482,439
25,25,17,743947,6126,352,2438
26,26,17,10535242,384920,7550,23855
27,27,26,483360,16258,245,1588
28,28,24,3298456,65730,4360,9504
29,29,26,321297,15424,280,3317
30,30,10,752844,42290,359,3250
31,31,27,602127,19575,658,2510
32,32,24,136643,6218,127,524
33,33,25,244433,9143,6826,4838
34,34,1,917643,25456,731,1073
35,35,24,796896,39791,1252,3868
36,36,24,2932,71,3,15
37,37,25,224532,490,772,597
38,38,26,246389,15314,247,1842
39,39,1,165647,3712,142,524
40,40,27,162818,9531,416,1079
41,41,10,163656,19183,137,2154
42,42,24,220661,2070,449,352
43,43,26,142039,9889,130,1224
44,44,22,807779,26521,522,5996
45,45,26,1936893,74587,1060,6558
46,46,23,279903,4389,138,338
47,47,25,262875,1069,183,0
48,48,17,185541,12179,115,827
49,49,26,27794,1692,34,174
50,50,26,315347,19538,204,3172
51,51,28,46622,345,47,149
52,52,2,668027,3553,1629,889
53,53,10,1026622,61409,967,4097
54,54,23,1862110,38823,1999,6229
55,55,28,148998,2123,101,435
56,56,20,182676,3752,165,1163
57,57,23,379817,14096,323,1338
58,58,22,103807,119,23,67
59,59,10,44621,4165,121,537
60,60,24,48688,141,226,256
61,61,22,141532,9467,55,956
62,62,25,7740,70,1,7
63,63,25,16059,139,9,12
64,64,22,4618045,104899,2180,11355
65,65,24,4661584,17517,2543,2157
66,66,17,320880,3858,104,675
67,67,2,94123,520,34,96
68,68,22,134994,13901,69,1087
69,69,25,135280,2032,17,368
70,70,10,229235,9746,292,1119
71,71,28,14577,160,19,51
72,72,23,14706,1619,33,201
73,73,23,543283,33686,931,14935
74,74,1,39338,2377,103,484
75,75,23,62884,6003,72,364
76,76,1,196016,5080,56,434
77,77,24,2526119,17110,677,5311
78,78,15,43199,3263,7,294
79,79,25,1157495,15333,990,4641
80,80,29,42734,0,0,0
81,81,28,16653,83,10,27
82,82,26,416462,20164,297,2597
83,83,25,470206,942,137,582
84,84,28,2604761,28651,2256,6878
85,85,24,332176,14279,626,1927
86,86,24,7189818,26771,3925,123
87,87,27,330895,18023,112,1017
88,88,27,230701,11767,184,1519
89,89,25,358661,3498,24056,6420
90,90,10,101248,4679,93,331
91,91,1,498183,6300,112,789
92,92,23,1462030,74679,1502,3881
93,93,27,4774911,32276,12757,4103
94,94,22,2433292,123805,1069,9275
95,95,27,295156,10918,149,781
96,96,1,165849,3391,297,374
97,97,24,322896,8516,470,663
98,98,26,1617247,83419,1014,7114
99,99,26,185928,6156,129,320
100,100,10,265833,3995,197,256
101,101,25,28038,845,41,344
102,102,25,91229,270,62,211
103,103,24,188162,1990,266,192
104,104,24,157437,19869,78,2027
105,105,25,329459,1158,188,439
106,106,24,1153128,45408,4311,5708
107,107,25,1769252,8048,2123,3359
108,108,26,381229,11618,452,1663
109,109,25,260164,2405,121,259
110,110,22,1275489,2678,494,895
111,111,25,9025,53,1,16
112,112,26,13892,327,29,86
113,113,10,216040,9301,140,349
114,114,28,2036428,41039,2671,15607
115,115,25,50155,251,27,146
116,116,2,659749,3964,712,278
117,117,26,1007014,57545,570,3333
118,118,1,7410,48,2,0
119,119,22,158816,206,67,153
