,日期,星期,最高气温,最低气温
0,2019-01-01,星期二,5,2
1,2019-01-02,星期三,6,4
2,2019-01-03,星期四,9,7
3,2019-01-04,星期五,10,8
4,2019-01-05,星期六,8,6
5,2019-01-06,星期日,7,5
6,2019-01-07,星期一,8,6
7,2019-01-08,星期二,7,5
8,2019-01-09,星期三,5,5
9,2019-01-10,星期四,7,6
10,2019-01-11,星期五,8,6
11,2019-01-12,星期六,7,5
12,2019-01-13,星期日,7,4
13,2019-01-14,星期一,10,6
14,2019-01-15,星期二,8,1
15,2019-01-16,星期三,5,0
16,2019-01-17,星期四,8,2
17,2019-01-18,星期五,10,7
18,2019-01-19,星期六,10,5
19,2019-01-20,星期日,8,1
20,2019-01-21,星期一,8,2
21,2019-01-22,星期二,11,3
22,2019-01-23,星期三,13,4
23,2019-01-24,星期四,12,5
24,2019-01-25,星期五,10,2
25,2019-01-26,星期六,6,1
26,2019-01-27,星期日,9,4
27,2019-01-28,星期一,8,6
28,2019-01-29,星期二,10,8
29,2019-01-30,星期三,15,7
30,2019-01-31,星期四,6,0
31,2019-02-01,星期五,5,3
32,2019-02-02,星期六,14,12
33,2019-02-03,星期日,12,6
34,2019-02-04,星期一,11,7
35,2019-02-05,星期二,12,8
36,2019-02-06,星期三,16,8
37,2019-02-07,星期四,10,2
38,2019-02-08,星期五,4,1
39,2019-02-09,星期六,4,3
40,2019-02-10,星期日,4,2
41,2019-02-11,星期一,5,3
42,2019-02-12,星期二,7,5
43,2019-02-13,星期三,8,4
44,2019-02-14,星期四,7,5
45,2019-02-15,星期五,6,3
46,2019-02-16,星期六,4,2
47,2019-02-17,星期日,7,5
48,2019-02-18,星期一,7,7
49,2019-02-19,星期二,8,6
50,2019-02-20,星期三,6,6
51,2019-02-21,星期四,8,5
52,2019-02-22,星期五,5,3
53,2019-02-23,星期六,8,3
54,2019-02-24,星期日,13,6
55,2019-02-25,星期一,11,6
56,2019-02-26,星期二,13,7
57,2019-02-27,星期三,10,7
58,2019-02-28,星期四,11,6
59,2019-03-01,星期五,11,8
60,2019-03-02,星期六,8,6
61,2019-03-03,星期日,11,3
62,2019-03-04,星期一,13,7
63,2019-03-05,星期二,11,8
64,2019-03-06,星期三,14,6
65,2019-03-07,星期四,12,5
66,2019-03-08,星期五,12,8
67,2019-03-09,星期六,11,8
68,2019-03-10,星期日,11,7
69,2019-03-11,星期一,19,8
70,2019-03-12,星期二,21,7
71,2019-03-13,星期三,16,8
72,2019-03-14,星期四,10,7
73,2019-03-15,星期五,20,7
74,2019-03-16,星期六,20,9
75,2019-03-17,星期日,22,10
76,2019-03-18,星期一,12,9
77,2019-03-19,星期二,20,10
78,2019-03-20,星期三,25,13
79,2019-03-21,星期四,19,8
80,2019-03-22,星期五,12,7
