group_code,owner_uin,group_name,gunm,activity,cityid,uin_privilege,label,memo,flag_ext,glogo,join_auth
1048229380,3021354253,20届湖南交院新生群2⃣,1009,10,,-1,管理员活跃||男生多||同学,本群专门为20届学弟学妹解决单招相关的疑难杂症，包括进大学之后的相关问题，都可以在群内咨询学长学姐。,10551360,http://p.qlogo.cn/gh/1048229380/1048229380/140,d63SC8J09rAVDAd3BMFzBjDPRyZYTd7JWzXu6CJwPmNzuItsGcSBWlcqFrSqxlAb
760995515,927722715,QQ表情动态图全（2）,1185,10,10320,-1,文件多||管理员活跃||男生多||64.1km,本群主打斗图表情包，喜欢收藏表情包快快加入吧，群里靓仔靓妹多多哦！以下皆是斗图表情包群，喜欢的快快都加入吧！🥰群1：（175651096）群2：（760995515）群3：（1033576217）,10551360,http://p.qlogo.cn/gh/760995515/760995515/140,2t69svV1QGDMwQ0nB1BG7bGDD7nD97p7AwKB43E1Ws/20Esc1jSEEekAdWLQRU2I
733274439,1415835682,奥奇传说病友交流群2,367,10,,-1,管理员活跃||男生多||游戏,,1075904704,http://p.qlogo.cn/gh/733274439/733274439/140,rehRq7L1qhS+teuJZbRU2RW9viMzeO/dAwhUswz0nMk7B9RStivjMWF04h4JkbCq
1043342087,2629110093,web前端学习交流群2,1983,10,,-1,管理员活跃||男生多||行业交流,本群是web前端直播学习交流群，方便大家共同进步，文明聊天谢谢欢迎大家加入交流群，大家一起努力。管理规则：广告君、恶意争吵、谩骂他人、刷屏秒飞，本着一颗平和的心讨论，谢谢合作。,10551520,http://p.qlogo.cn/gh/1043342087/1043342087/140,13Etc+k/uReJ57258QhPvV+1EG8+YYeWix009mwfAICuSa3B9Yr60f1qocH1RlhO
227900250,2737064071,湘中20届学前教育单招2,325,10,10388,-1,相册多||管理员活跃||女生多||594.7km,此群是湘中20届学前教育单招2群，闲杂人勿扰,1075904704,http://p.qlogo.cn/gh/227900250/227900250/140,qdN1DpWIH1AQs1eTVDo9RHEaNG2qu7vRMWc02/p42DMUh0I/NvDcXtrPDXEMPjDj
642179413,3356954046,原耽女孩游戏群（2）,338,10,,-1,文件多||管理员活跃||女生多,,2162880,http://p.qlogo.cn/gh/642179413/642179413/140,nw9hU0rLe6iGhZtRnftRsgxzntCZiEQbUEuvhSKwlRuEE8KHj/S7+KHROdPoXkvq
978487201,2769204361,单身狗俱乐部2,471,10,10234,-1,管理员活跃||男生多||粉丝||779.2km,单身狗俱乐部😏，进了群就是一家人，发广告发黄图的管理员举报再踢出群，不能骂人，吵架，否则后果自负,2162880,http://p.qlogo.cn/gh/978487201/978487201/140,MX7aDLxm74Q7KwZYuYsbxrxs+1XAUUCLVVhCf23gXnr4LMh2eDos+Nwc5SxdY9Z7
209548924,371453070,星际争霸2菜鸟群,2866,10,10120,-1,文件多||相册多||管理员活跃||737.9km,欢迎大家来到星际争霸2菜鸟群，我们是可爱幽默的一群人，欢迎大家加入我们这个大家庭。——星际争霸2菜鸟群宣,8651204,http://p.qlogo.cn/gh/209548924/209548924/140,9wPF+eobCcXz8vPNwf3iZENOY9QZoI7FuA0f2okKll7tjprXtT/l/TOrFuZ/M3T5
1030864757,3007665963,《十冷2》官方玩家群,398,10,,-1,管理员活跃||男生多||办公,,2163168,http://p.qlogo.cn/gh/1030864757/1030864757/140,5FuO/+FtYYHToPfihQfUa9rraQ9qB/ButUlKwU9RikiPTiKXt4THmUi3ngI5DzHM
526707817,381909417,君安~新蔡驻马店拼车3,182,8,10324,-1,文件多||管理员活跃||男生多||164.9km,本群用於拼車。親愛的朋友不用也不用退群。可以屏蔽消息！,2424896,http://p.qlogo.cn/gh/526707817/526707817/140,0y2yksrI1um6rYNOWRolP2CJv/9ruTAW3LXeape4uXKIvjWcbKVIc8fHc4D9lld1
