排名,名称,热度,关注人数,浏览量,标签,链接
1,如何看待天门山失联翼装飞行女大学生被找到，降落伞未打开，已不幸身亡？,8674 万热度,11523,16724858,"['旅行', '极限运动', '翼装飞行']",https://www.zhihu.com/question/395635205
2,抖音是否正在摧毁当代女性的价值观？,3074 万热度,16093,10501122,"['生活', '价值观', '女性', '抖音']",https://www.zhihu.com/question/338971582
3,如何看待青海女牧民被棕熊叼走咬死 棕熊被击毙？,1913 万热度,962,1278883,"['野生动物', '熊科动物', '动物园']",https://www.zhihu.com/question/394989615
4,如何看待疑似绿地京津冀高管妻子称「遭丈夫威胁恐吓，索赔 500 万，曾遭家暴」？,1111 万热度,649,776333,"['女性主义', '女性', '社会新闻', '校花', '妻子出轨']",https://www.zhihu.com/question/395783463
5,什么样的女生更容易成为渣男的「狩猎对象」？,知乎恋爱课,/,/,[],https://www.zhihu.com/xen/market/promotion-activities/1245432297542979584
6,今年 520 的文案你喜欢哪一个？,1036 万热度,605,244246,"['广告文案', '文案']",https://www.zhihu.com/question/277881763
7,漂亮女孩生在穷人家是一种怎样的体验？,1015 万热度,7759,13410944,"['女孩', '穷人家的孩子']",https://www.zhihu.com/question/30917738
8,如何看待杨超越透露明星代言的产品可以免费使用？,993 万热度,963,1488247,['杨超越'],https://www.zhihu.com/question/395311212
9,如何看待特朗普写信威胁世卫组织总干事谭德塞，称美国可能永久「断供」并退出世卫组织？,855 万热度,613,697338,"['美国联邦政府', '世界卫生组织（WHO）', '唐纳德·约翰·特朗普（Donald J. Trump）', '特朗普政府及其内阁', '新型冠状病毒肺炎']",https://www.zhihu.com/question/395828204
10,如何评价边程任敏直播的表现?,839 万热度,243,226691,"['网络直播', '直播', '清平乐（电视剧）', '任敏', '边程']",https://www.zhihu.com/question/395911235
11,如何看待近期蒋凡陪同马云千岛湖观鱼?,810 万热度,4122,4603566,"['马云（人物）', '阿里巴巴集团', '淘宝网', '淘工作']",https://www.zhihu.com/question/395556886
12,女生最想收到男性朋友送的什么礼物？,786 万热度,40241,16749222,"['生活', '调查类问题', '礼物', '女生', '男生']",https://www.zhihu.com/question/21054413
13,有哪些在国内不起眼的东西，却被外国人买空的？,627 万热度,7276,9040925,"['生活', '生活方式', '外国人']",https://www.zhihu.com/question/367189796
14,你见过哪些假装努力的大学生？,607 万热度,1334,351721,"['大学生', '大学', '校园', '努力', '自我提升']",https://www.zhihu.com/question/278969644
15,你在怎样的一瞬间认清了一个人？,604 万热度,80021,208636055,"['交友', '朋友', '人际交往', '识人', '朋友相处']",https://www.zhihu.com/question/290287180
16,2198 元起的 iQOO Z1 是否值得购买？,589 万热度,415,396119,"['手机', '数码', 'vivo 手机', 'iQOO', 'iQOO Z1']",https://www.zhihu.com/question/395837704
17,如何看待「美国为什么必须绞杀华为」？,485 万热度,1068,382053,"['科技', '华为', '芯片（集成电路）', '华为手机', '华为终端']",https://www.zhihu.com/question/395647893
18,如何看待《王者荣耀》代练在二线城市花 220 万买房？,440 万热度,256,347117,"['互联网', '游戏', '买房', '电子竞技', '王者荣耀']",https://www.zhihu.com/question/395859217
19,如何看待 26 岁女生靠朋友圈「完美人设」集资 1400 多万？,431 万热度,905,625130,"['社交网络', '法律', '诈骗', '微信朋友圈']",https://www.zhihu.com/question/395501064
20,线上考试真的好多人作弊吗?,400 万热度,729,570512,"['作弊', '考试作弊', '考试系统']",https://www.zhihu.com/question/391343268
21,如何试探男朋友的家底？,377 万热度,14441,20064572,"['结婚', '恋爱', '男朋友', '个人情感咨询']",https://www.zhihu.com/question/26498728
22,35 岁的你想告诉 28 岁的我什么人生道理？,362 万热度,41950,8221387,"['人生', '家庭', '28 岁', '社会心理学', '35岁']",https://www.zhihu.com/question/345832687
