序号,电影名称,年份,地区,类型,评分,评价人数,名言
1,肖申克的救赎,1994,美国,犯罪 剧情,9.7,2014522人评价,希望让人自由。
2,霸王别姬,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1492213人评价,风华绝代。
3,阿甘正传,1994,美国,剧情 爱情,9.5,1525138人评价,一部美国近现代史。
4,这个杀手不太冷,1994,法国,剧情 动作 犯罪,9.4,1717906人评价,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,1997,意大利,剧情 喜剧 爱情 战争,9.5,960039人评价,最美的谎言。
6,泰坦尼克号,1997,美国,剧情 爱情 灾难,9.4,1475605人评价,失去的才是永恒的。 
7,千与千寻,2001,日本,剧情 动画 奇幻,9.4,1578374人评价,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993,美国,剧情 历史 战争,9.5,777740人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,1459314人评价,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,2009,美国 英国,剧情,9.4,1012905人评价,永远都不能忘记你所爱的人。
11,海上钢琴师,1998,意大利,剧情 音乐,9.3,1216480人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,楚门的世界,1998,美国,剧情 科幻,9.3,1083515人评价,如果再也不能见到你，祝你早安，午安，晚安。
13,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1351670人评价,英俊版憨豆，高情商版谢耳朵。
14,机器人总动员,2008,美国,科幻 动画 冒险,9.3,961902人评价,小瓦力，大人生。
15,放牛班的春天,2004,法国 瑞士 德国,剧情 音乐,9.3,940748人评价,天籁一般的童声，是最接近上帝的存在。 
16,星际穿越,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,9.3,1087858人评价,爱是一种力量，让我们超越时空感知它的存在。
17,大话西游之大圣娶亲,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1066800人评价,一生所爱。
18,熔炉,2011,韩国,剧情,9.3,656913人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19,疯狂动物城,2016,美国,喜剧 动画 冒险,9.2,1271817人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
20,无间道,2002,中国香港,剧情 犯罪 悬疑,9.2,868609人评价,香港电影史上永不过时的杰作。
21,龙猫,1988,日本,动画 奇幻 冒险,9.2,904615人评价,人人心中都有个龙猫，童年就永远不会消失。
22,教父,1972,美国,剧情 犯罪,9.3,660866人评价,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,2006,美国,剧情 传记 家庭,9.1,1080046人评价,平民励志片。 
24,怦然心动,2010,美国,剧情 喜剧 爱情,9.1,1257096人评价,真正的幸福是来自内心深处。
25,触不可及,2011,法国,剧情 喜剧,9.2,706283人评价,满满温情的高雅喜剧。
26,蝙蝠侠：黑暗骑士,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,727160人评价,无尽的黑暗。
27,控方证人,1957,美国,剧情 犯罪 悬疑,9.6,280058人评价,比利·怀德满分作品。
28,活着,1994,中国大陆 中国香港,剧情 历史 家庭,9.2,564932人评价,张艺谋最好的电影。
29,乱世佳人,1939,美国,剧情 历史 爱情 战争,9.3,484049人评价,Tomorrow is another day.
30,寻梦环游记,2017,美国,喜剧 动画 奇幻 音乐,9.1,1059676人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
31,末代皇帝,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.2,508432人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
32,摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭,9.0,1105551人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33,指环王3：王者无敌,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.2,535582人评价,史诗的终章。
34,何以为家,2018,黎巴嫩 法国 美国,剧情,9.1,644665人评价,凝视卑弱生命，用电影改变命运。
35,少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1019493人评价,瑰丽壮观、无人能及的冒险之旅。
36,飞屋环游记,2009,美国,剧情 喜剧 动画 冒险,9.0,950213人评价,最后那些最无聊的事情，才是最值得怀念的。 
37,十二怒汉,1957,美国,剧情,9.4,321870人评价,1957年的理想主义。 
38,鬼子来了,2000,中国大陆,剧情 喜剧,9.2,437946人评价,对敌人的仁慈，就是对自己残忍。
39,天空之城,1986,日本,动画 奇幻 冒险,9.1,602834人评价,对天空的追逐，永不停止。 
40,哈尔的移动城堡,2004,日本,动画 奇幻 冒险,9.1,692748人评价,带着心爱的人在天空飞翔。
41,大话西游之月光宝盒,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,855005人评价,旷古烁今。
42,素媛,2013,韩国,剧情,9.2,439052人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
43,天堂电影院,1988,意大利 法国,剧情 爱情,9.2,473327人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
44,罗马假日,1953,美国,喜剧 剧情 爱情,9.0,696835人评价,爱情哪怕只有一天。
45,闻香识女人,1992,美国,剧情,9.1,605246人评价,史上最美的探戈。
46,辩护人,2013,韩国,剧情,9.2,432667人评价,电影的现实意义大过电影本身。
47,哈利·波特与魔法石,2001,美国 英国,奇幻 冒险,9.0,655758人评价,童话世界的开端。
48,搏击俱乐部,1999,美国 德国,剧情 动作 悬疑 惊悚,9.0,627545人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
49,我不是药神,2018,中国大陆,剧情 喜剧,9.0,1481081人评价,对我们国家而言，这样的电影多一部是一部。
50,死亡诗社,1989,美国,剧情,9.1,495145人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
